tweet,sentiment
" 조금 전 KBS 뉴스 에서 이용호 와 손금주 의 발언 을 소개 하 었 군요 .  
“ 문 씨 집안 에 더이상 관심 도 , 보 ᆯ 일 도 없 으니까 ! ” ( 이용호 )  
“ 친박 에서 치 ᆫ 문 으로 간판 만 바꾸 는 거 ᆫ 패권 정치 의 연장 ” ( 손금 주 )  
민주당 이 문 대통령 을 생각 하 ᆫ다면 이 두 사람 절대 받 으면 안 되 ᆸ니다 . 부끄럽 은 줄 알 시 어요 .  ",3
" 헛 !!!!! ㅠㅠ 걸 크러쉬 언니 사랑해 여 
어제 도 계속 틀 어 놓 었 어요 .  
범죄자 보 면 쭈그러드 는 그런 마음 처럼 댓글 에서 희안한지랄떠 는 놈 만 나 면 마음 이 쭈글쭈글 힘들 ᆫ데 달빛 기사단 편 은 쭈그러지 ᆫ 마음 을 쫙 펴 어 주 어요 . 영혼 의 치료제 넘좋 어요 
정말 애정 하 ᆸ니다 
시간 되 시 면 목소리 또 들리 어 주 시 어요  ",1
" to 유현미 작가님 
엄마 랑 화해 하 기 전 까지 는 
글 쓰 지 말 시 어요 
ㅠ  ",3
"“ 정부 와 국회 가 이제 ᆫ 바뀌 ᆯ 때 이 ᆸ니다 . 기업 은 좀 누르 어도 되 ᆫ다는 낡 은 생각 을 버리 어야 하 어요 . ”  
손 경식 한국경영자총협회 회장 ( 80 · 사진 ) 은 1 일 한국경제신문 과 의 단독 인터뷰 에서 “ 땅 에 떨어지 ᆫ 기업인 들 의 사기 를 끌어올리 어야 하 ᆫ다 ” 며 이 같이 말 하 었 다 .  ",5
"' 2017 KBS 연기대상 ' , 김영철 - 천호진 공동 대상 수상 ' 영예 ' ",5
에이브 리 ᆯ 라빈 은 어떻게 이렇게 청춘 답 은 노래 를 만들 는 거 이 ᆫ지 모르 겠 음 17 내 가 너무 너무 좋아하 는 청춘 노래 이 ᆫ데 가사 가 진짜 너무 좋 음 We were on top of the world 하 ᆯ 때 팍 하고 터지 는 것 도 너무 좋 고 ㅠㅠ ... 너무너무 짜릿 하 ᆫ 여름 같 은 노래 ... ,1
" 오지혜 ( 배우 ) 가 추천 하 는 책 :  
‘ 심리 적 심폐소생술 ’ 숙지 하 라 
좋 은 글 을 읽 는 경험 
2018 올해 의 책  ",5
자유한국당 김진태 의원 사진 에 개 짖 음 방지 용 입마개 를 씌우 는 퍼포먼스 를 벌이 었 다가 모욕죄 로 고소 당하 ᆫ 사회 활동 가 ‘ 둥글 이 ’ 박성수 씨 에게 법원 이 무죄 를 선고 하 었 다 . ,5
"' 공감 의 크기 가 곧 꿈 의 크기 ' , 이유미 마노 컴퍼니 대표 - 미 디어 SR  ",5
석준 배 이 ᆫ 귀여웤 ㅋㄱㅋ ,1
" 190125 
포르테 디 콰트로 CO LO RS 서울 
테너 김현수  ",5
진짜 너 가 나 의 인생 의 행복 이 다 수 민 아 ,1
정명훈 “ 북한 음악가 들 과 연주 하 ᆯ 날 기다리 ᆸ니다 ” ,5
" 1984 kbs 2 TV 드라마 - 영산강 1 편 
도예 가 고현 조기정 선생 을 모티브 로 무등 도요 를 배경 으로 촬영 되 었 는데 요 . 디지털 로 복원 되 ᆫ 영상 파일 은 1 편 , 26 편 뿐 이 ᆸ니다 . 양근승 극본 · 고성원 연출 로 백일섭 , 김난영 , 손창민 , 허진 , 권 미혜 , 태민영 등 이 출연 하 었 네요 .  ",5
" 정우성 이각 도 너무 예쁘 었 지 ㅜㅜㅠㅠㅠ  
앞 에 사진 찍 은 거 두장 포즈 좀 보 셈 ㅋㄱㄱㄱㄱㅋ  ",1
이종구 자유당 의원 이 ... 최저임금 을 업종 별 로 차등 화 하 자 ᆫ다 . 욕 나오 ᆫ다 . 거지 발싸개 같 은 인간 . ,3
" 김용우 육군 참모 총장 이 시 라는데 , 
순간 배우 김윤석 이 ᆫ 줄 . 비니 까지 멋짐  ",5
신효섭 마지막 에 ㅗ 모 냐고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 혁 이 는 마지막 에 저렇 게 하트 적 는 거 나 랑 똑같 아 나 도 편지 나 글 쓰 고 마지막 에 저렇 게 하트 잘 쓰 는 데 별 거 아니 ᆫ 공통점 찾 고 좋아하 기 ,1
노무현 은 우리 엄마 가 벌교 빨치산 이 맞 는데 권영길 아들 은 어디 빨치산 이 냐고 하 는 거 이 ᆸ니다 . ,5
" 평생 서로 의 삶 에 참견 하 며 맛있 는 거 많이 먹 으며 살이 로 하 었 다는 아이유인나 하 시 어요 ,,  ",1
" 잠깐 만 시간 내 어서 청원 동의 부탁 드리 ᆸ니다 
알티복붙연대 하 어 주 세 요 
청원 하 는 데 1 분 도 안 걸리 어요  ",5
이진훈 대 구시 출마자 를 응원 하 ᆸ니다 ,1
" 염결 식 참가 하 시 는 분 들 
부스 컷 마감 이 2 월 2 일 까지 이 라는 거 알 고 계시 ᆸ니까 
하루만 에 급조 하 ᆫ 부스 컷 ㅇ < - <  
부스컷 이 컬러 이 ᆫ지 흑백 이 ᆫ지 설명 이 없 길래 일단 두 개 다 만들 는 거 ᆯ로 ( 무식 함 )  
여기 에 식자 박은 버전 은 회사 에서 - _ - 
집 컴 에 ᆫ 폰트 가 없 어요 ...  ",5
"' 문무일 동기 ' 이영 려 ᆯ 검찰 복귀 에 고심 하 는 법무부 
문무일 은 나가 고 이영렬 을 앉히 어라 . 검찰 의 봐주 기 수사 결과 가 아니 ᆫ지  ",3
" 남경주 & 배해선 의 06 년 영상 . 유튜브 이전 에 는 같 은 곡 을 영원히 다른 버전 으로 , 다음 플레이 리스트 에 뭐 가 걸리 ᆯ지 도 모르 고 하나 를 듣 는 동시 에 그 다음 을 찾 는 일 을 상상 하 ᆯ 수 나 있 었 는지 .  ",5
" 이태우 최고 의 원 말씀 잘 하 시 네요 .  
앞으로 도 소신 있 게 목소리 자주 내 어 주 시 어요 .  
또한 국민의당 과 안댚측 에서 
상대방 처럼 막말 비방 조롱 하 는 거 ᆫ 반대 하 지만 
반박 하 ᆯ 내용 은 즉각 적 으로 정확 하 게 사실관계 짚 어 주 시 어요 .  
허위사실유포 이 고 소 도 방법 이 지만 확대 재 생산 을 미연 에 방지 하 는 것 이 더 중요 하 ᆸ니다 .  ",1
오빠 이 날 머리 에 힘 주 었 구나 ? 유선 전화기 에 있 는 선 같 다 ... 탱글탱글 하 ᆯ 거 같 은데 얼굴 이 진짜 잘 생기 었 네 ... ,1
" 펀치 에서 캐런님 이 유일 하 게 상의 하 는 분 이 있 는데 성함 이 "" 혜진님 "" 이라고 
하 었 거든요 .  
혹시 그 분 이 박혜진 나무 처럼 님 ?  ",5
" 이준석 에 진수희 에 이태우 까지 왜 이렇 게 트롤 들 이 많 냐 . 선거 어떻 게 하면 이 길가 에 대하 ᆫ 고민 은 없 고 , 본인 들 에게 조금 이 라도 불리 하 면 언론 에 대 고 트롤 짓 하 고 있 네 .  ",3
노무현 의 봉하마을 사저 와 묘역 설계자 이 기 도 . 얼마 전 에 ᆫ 잡지 에서 경남 어디 마을 이 ᆫ가 에 전시관 이 ᆫ가 갤러리 운영 에 저 자 승효상 이 하 는 거 ᆯ로 사진 과 소개 가 되 ᆫ 거 ᆯ 보 었 는데 .. 완전 문재인 정권 되 고 낙하산 들 의 완장 천지 나빌레 이 라 네요 . ,5
" 국회 윤리 심사 자문 위원 8 명 임기 는 지난해 12 월 11 일 만료 되 었 다 . 한국당 과 바른 미래 당 은 자신 들 의 몫 을 아직 추천 하 지 않 었 다 .  
한국당 으로서 ᆫ 자문 위원 을 추천 하 ᆯ 일 을 미루 ᆫ 탓 에 자문 위원 이 공석 이 라 손 의원 징계 를 논의 조차 하 ᆯ 수 없 는 상황 을 초래 하 ᆫ 셈 이 다 .  
망국 당 새끼 들 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  ",3
" SK Y 캐슬 박 유나 , 가짜 하버드 생 이 ᆫ 정 “ 父 나 ᆯ 죽이 ᆯ 것 ”[ 결정 적 장면 ] ",5
우리 당 의원 들 은 다 양반 들 만 있 읍니까 왜 다 들 조용히 만 있 습니까 홍 발정 . 김 동태 . 장제스 같 은 막말 을 그냥 보 구 만 계시 ᆯ 거 이 ᆸ니까 ... 자유 빨강 당 ㅅㄲ 들 부관참시 도 아니 구 또 노 대통령 얘기 를 아주 씨 를 말리 어야 하 ᆯ ㄱ ㅅ ㄲ 들 ,3
오늘 218 둥 이 들 금강 빙의 ? ,5
" 하트 요정 막 냉이 찬우 생일 축하 하 어 ^^  
( feat . 바 비시 강 존자 ᆯ 김한 빈 조각상 송윤형 구준회 ) ",1
" 수다 떨 며 같이 보 어요 .  
"" 전지 적 참견 시점 "" 오픈커뮤 이 ᆸ니다 .  ",5
로빈 목소리 너무 좋아 어뜨케 ,1
스 발 고 민수 잘생기 ᆷ . ,1
" & lt ; 앵간 하면 노인 욕 안 하 ᆯ려구 하 었 는데 ... & gt ; 
평창 남북 공동 입장 도 반대 하 는 안철수 를 DJ 에 비유 하 냐 ?  
미치 ᆫ 영감탱이 이 야 ....  
한상진 "" 통합신당 , ' DJ - 박정희 ' 결합 하 면 한국 정치 바꾸 ᆯ 것 "" ",3
아니 에요 ... 그렇 ᆯ 수 있 어요 ..... 김마누미희 엘리자베스 알리 3 세 님 ... ,5
이태석 신부 님 마음 깊이 존경 하 ᆸ니다 . ,1
엔딩 씨 ᆫ 너무 조 어서 또 돌려밧자 나 ... 여진구 미치 ᆫ 1 인 2 역 보 어 조 ..... ,1
옆 이 바로 이 벤트 회장 이 었 고 따로 출입문 이 있 는 것 이 아니 라 이동식 가림 막 ( ? ) 같 은 것 이 문 을 대신 하 고 있 어서 살짝 살짝 이벤트 현장 이 보이 어서 유미리 가 살짝 살짝 보이 었 음 .. 귀엽 더라 ... ,1
박두진 존 나 쳐웃기 네 ㅋㅋㅋㅋㅋㅋㅋ ,1
" 도지사 꼬봉 노릇 이나 하 는 자 가 어디 버릇 없이 대통령 상왕 노릇 을 하 려 하 고 있 나 . 꼰대 지만 사실 은 꼬봉 이 ᆫ 무능 하 ᆫ 야당 전문 정치 꾼 . 자신 의 시대 적 소명 이 다 하 면 자족 하 고 물러나 ᆯ 줄 알 어야 시대 에 폐 를 끼치 지 않 는 법 이 ᆫ데 , 노욕 에 눈 이 멀 어 시대 의 발목 을 잡 어 다시 정권 을 잃 을 짓 을 하 고 있 다 .  ",3
아빠 가 제 일 좋아 ! 먕먕 ! ,1
" 뮤지컬 ‘ 영웅 ’ 10 주년 기념 , 안재욱 - 정성화 - 양준모 강렬 하 ᆫ 3 인 3 색 안중근 의사 캐릭터 공개  ",5
이 제명 재판 에서 판사 가 얼척 없 는 표정 으로 쳐다보 ᆫ다네 ㅋㅋ 내 가 개코 이 ᆫ 작가 나 개그맨 이 라면 필 히 방청 하 겠 어 . 꼴 에 변호사 이 랍시고 셀프 변호 도 하 나 보 ᆫ데 먹히 기 ᆫ 커녕 개그 가 되 어 가 나 얼마나 웃기 어 . 배칠수 씨 의 성대모사 가 넘 그립 다 . 박찬 혁 작 가의 백반 토론 이 있 다면 정말 신 나 고 고급 스럽 게 까 었 을 터 이 ᆫ데 . ,3
윤지원 하 고 싶 은 대로 다 하 어 ~ ,1
" 정주리 , 출산 100 일 만 에 ‘ 라디오스타 ’ 로 복귀 … 어떤 모습 보이 어 주 ᆯ지 ‘ 기대감 UP ’ ",5
ㅋㅋㅋㅋㅋ 혹시나 해서욬 ㅋㅋㅋㅋㅋ 신윤철 은 기타 의 신 이 다 !!! ㅋㅋㅋㅋㅋ ,1
" 김성민 대표 "" 박 통 이 서울역 에 서 ᆯ 때 까지 멈추 지 않 을 것 """" ",5
나 이연걸 너무 좋아 .. 연기 의 신 ,1
쟈딕 앤 볼테르 스타일 ㅎㅎㅎㅎㅎㅎㅎㅎㅎ ,1
후욱후 욱 완벽 하 어 .. 완벽 하 ᆫ 남자 .... 이원석 ....... ,1
" 미치 ᆫ x 아니 ᆫ가 ?  
박정희 딸 박근혜 는 자유당 에서 방출 직전 이 고 , 
국당 은 호남 을 외면 하 ᆫ 지 가 오래 이 ᆫ데 , 
뜬금없 는 박정희 DJ 의 결합 운운 하 다니 ?  
[ 신율 의 출발 새 아침 ] 한상진 "" 통합신당 , ' DJ - 박정희 ' 결합 하 면 한국 정치 바꾸 ᆯ 것 "" | 다음 뉴스  ",3
"‘ 이 라 스 ’ 정주리 , ‘ 아줌마 ’ 얘기 에 “ 저 ᆫ 모르 겠 다 ” 돌직구  ",5
"[ 여성 벤처 ] "" 전자 문서 솔루션 으로 디지털 트랜스 포 메이 시 어 ᆫ 선도 "" 박미경 포 시 에스 대표  ",5
시우민 골 넣 고 웃 을 때 애기 웃음소리 효과음 도 나 고 이모티콘 도 > . < 야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이수근 채널 편집 팀 좋 어요 ,1
나 의 배우 내최 애 김윤석 생일 축하 하 ᆸ니다 늘 건강 하 게 오래 오래 연기 하 어 주 어요 ! 늘 변함없 이 응원 하 ᆯ 거 이 야 ! ,1
유은혜 장관 님 ;;; 딴 에 는 머리 쓰 시 ᆫ다고 2 회 이상 걸리 면 가중 처벌 받 는다고 하 시 ᆫ 거 같 은데 저 그렇게 매일 같이 때리 ᆫ 가해자 들 한 번 도 안 걸리 엇 어요 ;;;;;;;; 한 번 잡아내 기 도 힘들 ᆫ데 그거 ᆯ 두 번 씩 이나 잡겟 다구요 ? 코미디 하 시 어요 .......................................................?????????????????? ,3
""" 2007 년 에 일본 에서 처음 으로 이것 이 보고 가 되 었 습니다 . 일본 후생 노동 성 에서 당시 에 10 세 에서 19 세 청소년 에서 는 일반 적 으로 고 위험 군 이 아니 면 타미플 루 처방 하 지 않 도록 권고 하 ᆫ 바가 있죠 "" ( 김우주 고려대 구로 병원 감염 내과 교수 ) ",5
알료샤 가 먹 는 것 만 보 어도 배부르 단다 . ( 안 먹 겠 단 뜻 이 다 . ) ,5
나 재민 폰 손민수 하 고 싶 었 는데 색 까지 는 못 하 었 다 ㅠㅠㅠㅠ 속상하 지만 레드 도 예뻐 하 어 주 어야지 나 드디어 8 플로 폰 바꾸 었 다 꺍 ,1
"‘ 파업 가 ’ 30년 … 
 
김호철 의 나팔 은 멈추 지 않 는다  ",5
러블리즈 8 명 다 좋아하 고 최 애 류수정 이 차 애 지애 울림걸즈 때 부터 좋아하 었 어요 . 같이 8 명 얘기 하 시 ᆯ 분 오 어 주 시 었 으면 좋 겠 어요 . 전 여덕 이 고이 어 덕 ' 만 ' 받 으니까 남덕오지 마 남덕오지마 이 라고 쓰 어 두 어도 계속 오 는 데 남덕오지 마 삼촌 팬 ? 오빠 팬 ? 오 지 마 시바 남덕오지 마 ,5
아 그리고 연제욱 배우님 연기 짱 ! 서로 셋 이 의심 하 는 데 분위기 가 짱 이 었 습니다 ... 그리고 성체 도 받 어 먹 는 것 이 진짜 오씨 에 ᆫ 최고 이 ᆸ니다 . 이제 진짜 최종환 데 ㅠㅜㅜ 꼭 보 ᆫ 방 사수 하 ᆯ게요 ! 저 의 어필 은 이 정도 로 끝내 겠 습니다 움 하하 싸인 대본 이나 포스터 꼭 갖 고 싶 습니다 !! 사랑해요 OCN 선생 님 들 ,1
" 뱃대 숲 음악 도 너무 찰떡 같이 과다 장엄 하 고 훌륭 하 ᆫ데 , 이 이 건 추후 한스짐머 가 소 ᆯ까 말 잭스 나 - 애플렉 배트맨 의 고뇌 ( ? ) 가 놀라 ᆫ - 베일 배트맨 의 그것 보다 이해 안 되 었 다고 고백 하 ᆫ 것 에 비추 어 보 면 더욱 놀랍 은 일 이 다 작곡가 본인 의 이해 를 초월 하 ᆯ 정도 로 완벽 하 ᆫ 광기 시너지 를 일으키 는 음악 을 작곡 하 어 버리 ᆫ 것  ",1
[ 이재 추 ᆫ 전 러시아 대사 | 외교 를 말 하 다 ] ' 김정은 - 문재인 ' 의 ' 판 ' 다시 는 되돌리 ᆯ 수 없 다 ! | 이애란 TV | 2019 . 1 . 7 방송 ,5
" 신발 , 대한민국 법치주의 다 족구 하 라고 그래 !  ",3
" 우리 동네 크 ᆫ 사거리 에 걸리 어 있 는 민주 평화 당 소속 김경진 의 현수막 ‥  
지도 쪽파 ᆯ 린지 당명 은 빼 었 다 . 민주당 과 문재인 을 배신 하 고 ' 호남 홀대 론 ' 으로 지역감정 을 조장 하 어 선거 를 날 로 먹 은 놈 들 아니 ᆫ가 ? 민주당 근처 에 얼씬 도 하 지 마 라 !  ",3
" 김태리 에게 술 을 주 었 을 때 반응 . jpg 
( 다물 어 지 지 않 는 입 ) ㅋㅋㅋㅋㅋㅋㅋㅋ  ",1
" 둘 다 보 었 어요 !!  
와 ㅋㅋㅋㅋ 취향 진짜 비슷 하 네요 ㅋㅋㅋ  
혹시 메모라이즈보 이 며 김유현 좋아하 지 않 으시 었 나요 ? ㅋㅋㅋ  ",1
공유 이번 에 ᆫ 정유미 이 야 ...? 옛날 에 임수정 이 랑 비밀 결혼 하 ᆫ다고 찌 라시 돌았었는뎅 •• 오빠 그냥 도깨비 하 시 어요 ... ,5
아 서치하다 가 시력 잃 을 거 같 어 ㅠㅠ 딱 오천석 이 면 이러 지 않 었 을 터 이 ᆫ데 ..... 훅 흑 몬엑팬콘양도구해 이 요 ㅠㅠㅠㅠ ,2
"홍준표 · 안철수 · 유승민 , 내일 청와 대 신년인사회 불참 "" 반면 더불어민주당 에선 추미애 대표 와 우원식 원내대표 가 모두 참석 하 ᆯ 예정 이 다 . 정의당 도 이정미 대표 와 노회찬 원내대표 가 모두 참석 하 ᆫ다 . "" ",5
" 이거 널리 알리 어야 겠 네 
장제원 형 을 부산 시장 후보 로 천거 하 었 다 거절 당하 었 다 네요 홍준표 가 .  
부모달만 나 국회의원 물려받 은 아들 
부모 잘 만나 대학 총장 하 고 있 는 아들 
국회의원 아버 이 지만 나 사퇴 기념 간빠이 하 는 아들  ",3
" 어이 ! 야당 들 어제 국회 에서 개망신 에 이득 이 없 다 . 반대 로 
조국 , 김종석 수석 이 
국민 들 게 알리 어 주 어서 
대통령 시키 자 하 ᆫ다 .  
2020 물갈이 , 대거 촟불 세대 , 국회 입성 이 다 . 국정 에 비난 시비 막말 모함 통하 지 않 는다 .  
재야 올드보이 들 끝나 었 다 . 국익 앞 에 는 
협조 를 통하 어서 살 어라 . 정부 를 밀어주 어야 인정받 는다 . 통 크 ᆫ 정치  ",3
" 1680 년 ( 숙종 6 )  
4월 허견 등 복선군 의 추대 를 도모 하 다가 귀양 감 , 허적 , 윤휴 등 남인 들 이 사사되 고 서인 등용 ( 경신환국 )  
10월 숙종 비 인경왕후 사망 ( 1661 ~ ) ",5
너무 좋아하 는 파트 중 에 하나 ... 눈 이 부시 어 블링 블링블링 ~ ,1
아무것 도 안 하 었 는데 벌써 나츠나 시 이 에요 ... ,5
"홍준표 , "" 해방 이후 공판 과정 에서 공소장 을 네 번 이나 변경 하 ᆫ 사건 이 과연 단 한 건 이 라도 있 었 습니까 ? 죄 가 안 되 ᆫ다는 뜻 이 지요 . 억지로 엮 었 다는 것 이 지요 . ”  
삼성 이 재용 을 억지로 엮 었 다는 홍준표 , 이제 ᆫ 삼성 이랑 발정 나 ᆫ 거 이 ᆷ ? 이런 자 가 대한민국 의 검사 이 었 다는 거 이 ᆫ 수치 이 다 .  ",3
" 퇴근 
피곤 하 ᆯ 때 ᆫ 동방이죵 
시무 상 ~ 오늘 왜케 민우 이 야 ?  
늠 늠 이쁘 고 청순 하 시 네요  ",1
천송이 누나 도 조아해 이 요 ,1
" 단독 바람 의 딸 ’ 한비야 , 네덜란드 출신 긴급 구호 전문가 와 결혼 Watch more hot deo in Kor ea , click here :  ",5
" 참 소중 하 ᆫ 그런 사람 이 하나 있 다지 
그리고그게너라지 승관 아 사랑 히 ㅣ  ",1
" 190126 루드윅 무대 인사 
마리 슈라 더 - 김지유 배우님 
지 유마 리 잘 가요 ㅠㅠ  ",2
한상진 ? 문희상 이 삼고초려 하 었 다며 문재인 대선 패배 백서 내 어 달 라고 요청 하 고 대선 패배 모든 책임 은 문재인 탓 이 라고 하 었 던 놈 . 문희상 은 김추 호 비대 위원장 임기 끝나 고 당 대표 추대 하 려 앞장서 었 던 애 이 다 . 그때 김추 호 에 우호 적 이 었 던 애 들 이 문희상 원혜영 이석현 변재일 박병석 등등 소위 중진 이 란 애 들 ,3
" 이종구 , 윤창현 정신 박약아 들 이 출현 하 는 데 진보 측 은 어디 양반 , 규수 도 아니 고 얌전히 들 데리 고 토론 을 하 니 채널 을 돌리 ᆯ 수 밖에 없 구나 . 섭외 담당 어 이러 니 시청률 안 나오 는 것 이 다 . 이종구 는 예전 금감원 . 재경부 의 수뇌부 에 있 던 애 이 다 . 근데 그런 애 의 사상 이 삼성 찬양 으로 가득 차 있 다니 .  ",3
"' 토스 ' 이승건 대표 , 전 직원 180 명 에 스톡 옵션 1 억 원 주 고 연봉 도 50 % 올리 어  ",5
자기 그리 ᆫ 것 이 진짴 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이호석 답닼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 머리 하 며 몸 그러 논거 존 나 귀엽 고 사랑스러웤 ㅋㅋㅋㅋㅋㅋ ,1
화보 너무 좋 음 ㅠ ,1
" 철수 따라 가 ᆯ까 말 ᆯ까 망설이 다 민주당 이 이익 이 겠 다고 
남 어 있 던 영선 이 가 
힘 좀 생기 니 지랄 병 나오 시 나 보 ᆸ니다 .  
문재인 정권 성공 이나 대한민국 국민 에 득 이 되 는 데 는 관심 없이 자기 욕심 정치 하 는 여자 분 .  ",3
이 게 어트케 하 ᆫ 회차 에서 동일 하 ᆫ 사람 이 연기 하 ᆫ 거지 증말 여진구 연기 천재 만 재 ... ,1
이혜정 ¨ 이희준 과 결혼 후 나 의 편 이 생기 ᆫ 것 같 어 편안 하 어 지 어 ¨ ,5
정철 진짜 ...... 인생 에 도움 안 되 는 임금 빠돌 이새끼 ...... ,3
